age,job,marital,education,default,balance,housing,loan
48,services,married,tertiary,no,758,no,no
32,technician,single,secondary,no,1971,yes,no
41,retired,married,secondary,no,116,yes,no
30,admin.,married,unknown,no,319,yes,yes
51,services,married,primary,no,401,yes,yes
30,technician,married,unknown,no,3622,no,no
34,management,married,tertiary,no,963,no,yes
20,management,married,tertiary,no,318,no,yes
37,unemployed,single,tertiary,no,31423,yes,no
33,services,divorced,secondary,no,442,no,no
54,blue-collar,married,secondary,no,639,no,no
33,management,divorced,secondary,no,558,yes,no
26,services,married,secondary,no,1528,no,yes
47,technician,divorced,tertiary,no,196,yes,no
48,blue-collar,married,primary,no,41,yes,no
50,technician,married,secondary,no,-163,no,no
30,blue-collar,married,primary,no,532,yes,no
34,technician,single,secondary,no,709,yes,yes
31,technician,married,tertiary,no,868,no,no
43,self-employed,single,secondary,yes,7422,yes,no
32,technician,married,secondary,no,3251,yes,no
48,technician,married,tertiary,no,179,no,no
29,blue-collar,married,primary,no,1952,yes,no
27,blue-collar,married,primary,no,10481,yes,no
56,blue-collar,single,unknown,no,1906,no,no
21,management,married,tertiary,no,-465,no,no
38,admin.,divorced,tertiary,no,1854,no,no
46,management,divorced,secondary,no,-74,yes,no
38,blue-collar,married,tertiary,no,-94,no,no
35,blue-collar,married,secondary,no,688,yes,yes
52,retired,single,secondary,no,410,yes,no
30,blue-collar,married,secondary,no,458,yes,no
42,technician,married,secondary,no,1746,yes,no
48,entrepreneur,married,tertiary,yes,4313,yes,no
39,blue-collar,single,tertiary,no,543,yes,no
30,blue-collar,married,secondary,no,2059,yes,no
23,admin.,married,secondary,no,1413,no,no
41,technician,married,secondary,no,6332,no,no
24,services,single,tertiary,no,475,no,no
36,technician,divorced,secondary,yes,2051,no,no
62,management,married,secondary,no,3500,no,no
52,technician,married,unknown,no,3146,yes,no
30,blue-collar,married,unknown,no,9544,no,no
24,management,married,tertiary,no,3927,yes,no
51,technician,married,unknown,no,352,yes,no
49,unknown,married,unknown,no,2200,yes,yes
51,blue-collar,married,secondary,no,250,yes,yes
22,technician,divorced,tertiary,no,2170,no,yes
50,services,married,unknown,no,-139,no,no
24,self-employed,married,secondary,no,160,no,yes
53,blue-collar,married,primary,no,2803,no,no
37,admin.,married,secondary,no,141,yes,yes
47,management,married,tertiary,no,1520,no,no
30,technician,married,secondary,no,2100,yes,no
44,admin.,single,primary,no,27179,no,no
37,admin.,married,secondary,no,120,yes,no
25,admin.,married,primary,no,955,yes,no
47,management,married,tertiary,no,901,no,no
52,admin.,married,secondary,no,-10,yes,no
34,blue-collar,married,secondary,no,-245,no,no
47,blue-collar,married,secondary,no,6342,no,yes
23,technician,married,secondary,no,35,yes,no
40,management,married,tertiary,no,-6,yes,yes
36,blue-collar,married,primary,no,1750,yes,yes
56,retired,married,secondary,no,627,no,no
24,management,married,secondary,no,122,yes,no
45,management,married,tertiary,no,368,no,no
30,blue-collar,married,tertiary,no,2228,yes,no
24,blue-collar,married,secondary,no,490,yes,no
41,blue-collar,single,tertiary,no,566,yes,no
40,blue-collar,married,secondary,no,1125,yes,no
33,admin.,single,secondary,no,3494,yes,no
36,blue-collar,married,tertiary,no,2615,yes,no
25,admin.,single,secondary,no,70,yes,yes
39,management,married,secondary,no,-35,no,no
51,admin.,divorced,secondary,no,98,yes,no
25,technician,divorced,primary,no,2533,no,yes
41,technician,married,secondary,no,1822,no,yes
35,admin.,single,secondary,no,4432,no,no
52,self-employed,married,secondary,yes,-73,yes,no
37,technician,married,tertiary,no,177,no,no
47,management,married,tertiary,yes,289,yes,no
32,admin.,single,secondary,no,331,no,no
44,blue-collar,single,secondary,no,160,no,no
43,management,single,tertiary,no,1684,no,no
46,blue-collar,married,secondary,no,506,yes,no
51,admin.,single,secondary,no,3067,no,no
39,unknown,married,primary,no,1229,no,no
27,technician,married,secondary,no,88,yes,no
47,unemployed,married,primary,no,553,no,no
21,admin.,married,primary,no,2134,yes,no
36,technician,single,secondary,no,611,no,no
31,blue-collar,married,secondary,no,298,no,no
32,services,married,tertiary,no,536,no,no
24,technician,married,secondary,no,613,yes,no
47,technician,married,primary,no,424,yes,no
37,technician,married,tertiary,no,447,no,yes
56,management,married,unknown,no,318,yes,no
32,services,single,tertiary,no,286,no,yes
24,blue-collar,married,secondary,no,694,no,no
54,management,married,primary,no,2074,no,no
27,retired,married,tertiary,no,726,yes,no
30,services,married,secondary,no,1291,no,no
52,technician,married,tertiary,no,664,no,yes
30,admin.,married,unknown,no,403,yes,no
40,blue-collar,divorced,secondary,no,1347,yes,yes
34,blue-collar,married,tertiary,no,577,yes,no
37,management,married,tertiary,no,203,no,no
46,technician,married,unknown,yes,37,no,no
30,retired,married,primary,no,3578,yes,no
42,technician,married,secondary,no,2190,no,yes
38,blue-collar,married,secondary,no,802,yes,no
55,admin.,married,secondary,no,582,no,no
27,blue-collar,married,tertiary,no,-1299,yes,no
33,admin.,married,secondary,no,1798,no,no
31,blue-collar,married,tertiary,no,73,yes,no
35,admin.,divorced,tertiary,no,644,no,no
54,retired,married,tertiary,no,1666,no,no
30,technician,divorced,secondary,no,751,yes,no
24,admin.,married,secondary,no,2105,no,yes
29,blue-collar,married,primary,no,609,yes,yes
30,blue-collar,single,secondary,no,-398,no,no
26,services,married,secondary,no,125,yes,yes
33,technician,divorced,tertiary,no,578,yes,no
25,blue-collar,married,secondary,no,1895,yes,no
31,admin.,single,secondary,no,480,yes,no
58,technician,married,secondary,no,-224,yes,no
52,admin.,married,primary,no,80,no,no
50,blue-collar,single,tertiary,no,670,yes,yes
27,retired,married,secondary,no,574,no,no
46,services,single,tertiary,no,3608,no,no
21,retired,married,secondary,yes,8350,no,no
41,management,married,secondary,no,-178,no,no
30,admin.,married,secondary,no,2538,no,no
39,management,single,secondary,no,263,no,no
47,management,married,primary,no,1475,no,no
52,entrepreneur,married,secondary,no,2134,yes,yes
47,technician,single,tertiary,no,936,no,no
22,management,married,tertiary,no,421,no,no
42,retired,divorced,tertiary,no,-4,no,no
48,blue-collar,married,secondary,yes,2968,yes,no
38,technician,single,secondary,no,785,yes,no
32,technician,married,tertiary,no,1217,yes,yes
46,technician,married,tertiary,no,1022,no,no
22,blue-collar,divorced,secondary,no,3497,no,no
33,technician,single,secondary,no,1644,yes,no
34,retired,married,secondary,no,342,no,no
39,blue-collar,married,secondary,no,310,no,no
28,blue-collar,divorced,primary,no,781,no,no
40,blue-collar,married,secondary,no,355,yes,no
51,unknown,married,secondary,yes,2502,yes,no
24,blue-collar,married,tertiary,no,2681,no,no
24,admin.,married,primary,no,286,yes,yes
24,admin.,married,secondary,yes,621,no,no
28,technician,divorced,secondary,no,3,no,no
31,blue-collar,married,secondary,no,149,yes,yes
48,technician,single,secondary,no,305,yes,yes
55,blue-collar,married,secondary,no,1384,yes,no
56,technician,married,tertiary,no,144,yes,no
31,technician,single,secondary,no,418,yes,no
41,technician,single,unknown,no,1917,yes,no
38,blue-collar,divorced,tertiary,no,2948,no,no
33,management,married,secondary,no,-234,yes,no
26,admin.,single,secondary,no,225,yes,no
41,technician,married,secondary,no,395,no,no
29,admin.,divorced,secondary,no,386,no,no
45,blue-collar,divorced,secondary,no,576,yes,no
52,admin.,married,tertiary,no,436,yes,no
31,housemaid,divorced,secondary,no,357,no,no
27,blue-collar,single,secondary,no,182,yes,no
46,blue-collar,married,tertiary,no,300,no,no
28,admin.,married,tertiary,no,-110,yes,no
35,blue-collar,married,tertiary,no,521,yes,no
53,management,divorced,tertiary,no,852,yes,no
61,retired,married,tertiary,no,496,no,no
25,management,divorced,secondary,no,364,no,yes
28,self-employed,single,unknown,yes,71,no,no
31,blue-collar,married,secondary,no,1584,no,no
42,services,married,tertiary,no,3553,yes,yes
50,admin.,married,tertiary,yes,199,no,yes
45,admin.,married,secondary,no,3431,yes,no
25,management,single,secondary,no,1412,no,no
31,blue-collar,married,secondary,no,-309,no,no
46,blue-collar,divorced,tertiary,no,2670,no,yes
43,services,married,tertiary,no,366,yes,yes
48,blue-collar,single,secondary,no,30621,yes,yes
31,blue-collar,married,secondary,no,3253,yes,no
32,blue-collar,married,tertiary,no,2774,yes,no
36,management,single,tertiary,no,1101,no,no
28,admin.,married,unknown,no,4252,yes,no
37,retired,married,secondary,no,1001,no,no
32,admin.,divorced,primary,no,552,yes,yes
57,self-employed,married,tertiary,no,320,no,no
43,blue-collar,divorced,primary,no,4129,yes,no
49,technician,divorced,tertiary,no,2559,yes,no
32,student,married,unknown,yes,1671,no,no
27,technician,married,primary,no,536,no,no
25,blue-collar,single,secondary,no,680,yes,no
34,admin.,married,secondary,no,7507,no,no
49,technician,single,unknown,no,-481,yes,no
28,blue-collar,married,secondary,no,228,yes,no
34,management,married,tertiary,no,3421,yes,no
26,technician,single,secondary,no,1767,no,yes
24,entrepreneur,married,secondary,no,4398,no,yes
38,retired,divorced,primary,no,501,yes,no
50,management,married,secondary,no,5892,no,no
29,student,married,secondary,no,30830,yes,yes
37,management,married,secondary,no,483,yes,no
52,management,married,secondary,no,517,yes,yes
48,admin.,married,secondary,no,-13,no,no
25,self-employed,married,primary,no,655,yes,no
43,services,married,secondary,no,736,no,no
45,entrepreneur,single,secondary,no,1032,no,no
20,management,divorced,unknown,no,1488,yes,no
50,management,married,secondary,no,-217,yes,yes
22,blue-collar,married,primary,no,459,no,yes
39,admin.,married,primary,no,10,yes,no
29,technician,divorced,secondary,yes,355,no,no
47,technician,married,tertiary,no,3457,no,no
28,management,divorced,secondary,no,2060,no,no
32,services,married,tertiary,no,250,no,no
29,unknown,married,tertiary,no,3649,yes,no
32,technician,married,secondary,no,4980,no,yes
47,services,married,tertiary,yes,1379,no,no
47,blue-collar,married,secondary,no,556,yes,no
31,management,married,tertiary,no,1062,yes,no
54,blue-collar,married,tertiary,no,498,no,no
27,student,divorced,secondary,no,855,no,no
22,retired,single,secondary,no,815,yes,yes
27,unknown,married,secondary,no,1341,yes,no
21,technician,married,secondary,yes,1092,yes,no
31,services,divorced,secondary,no,896,yes,yes
46,blue-collar,married,secondary,no,482,no,no
32,technician,married,primary,no,4155,no,yes
34,management,married,primary,no,185,no,no
38,retired,married,tertiary,no,6038,yes,yes
26,technician,single,tertiary,no,9094,yes,no
56,blue-collar,divorced,secondary,no,59,yes,no
36,management,married,tertiary,no,1399,no,no
51,blue-collar,married,tertiary,no,306,yes,no
47,blue-collar,married,tertiary,no,-56,yes,yes
31,blue-collar,married,tertiary,no,462,yes,no
32,technician,married,primary,no,2933,no,no
45,management,single,tertiary,no,1349,no,no
34,management,married,secondary,no,237,no,no
26,management,divorced,tertiary,no,4051,no,yes
33,management,divorced,tertiary,no,280,no,yes
21,blue-collar,single,unknown,no,607,yes,no
26,retired,single,tertiary,no,510,yes,yes
33,blue-collar,married,tertiary,no,1772,yes,yes
35,technician,single,secondary,no,435,no,yes
24,technician,married,tertiary,no,5754,yes,no
49,technician,single,tertiary,no,637,yes,yes
50,blue-collar,single,secondary,no,1095,yes,no
35,blue-collar,single,secondary,no,2355,yes,yes
28,technician,divorced,tertiary,no,760,no,no
59,blue-collar,divorced,primary,no,1328,yes,no
42,blue-collar,divorced,secondary,no,1155,no,no
53,blue-collar,married,secondary,no,195,no,no
36,admin.,married,tertiary,no,1440,yes,yes
57,management,single,secondary,no,4301,no,yes
51,services,married,secondary,no,489,yes,no
31,admin.,married,tertiary,no,628,yes,no
40,management,married,primary,no,366,no,yes
51,management,single,tertiary,no,3910,yes,no
37,blue-collar,married,secondary,no,184,no,no
30,technician,single,secondary,no,335,yes,no
38,management,married,tertiary,no,3344,no,no
29,technician,single,secondary,no,2132,yes,no
47,management,married,secondary,no,3676,yes,no
42,retired,divorced,secondary,no,1467,no,yes
39,admin.,married,secondary,no,2453,no,no
32,technician,married,secondary,no,663,no,no
56,management,married,tertiary,no,287,yes,no
34,services,married,secondary,no,446,yes,no
24,blue-collar,married,secondary,no,-8,no,no
34,housemaid,married,secondary,no,615,yes,no
54,retired,divorced,primary,no,526,yes,no
23,entrepreneur,divorced,secondary,no,3127,yes,no
35,blue-collar,married,tertiary,no,223,no,no
26,management,married,tertiary,no,1803,yes,no
26,admin.,single,tertiary,no,181,no,no
28,admin.,single,secondary,no,2098,yes,yes
48,services,married,tertiary,no,533,yes,no
36,technician,married,tertiary,no,528,yes,no
35,blue-collar,married,tertiary,no,183,yes,no
30,management,married,primary,no,607,no,no
51,management,married,secondary,no,662,yes,no
29,management,married,secondary,no,1185,no,yes
24,technician,married,tertiary,no,772,yes,no
23,blue-collar,married,primary,no,463,no,no
52,admin.,married,secondary,no,196,no,no
34,management,divorced,primary,no,728,no,yes
57,retired,married,secondary,no,271,no,no
24,retired,married,secondary,no,4810,no,yes
40,admin.,married,secondary,no,6870,yes,yes
32,management,married,secondary,no,2981,no,no
34,management,married,primary,yes,3146,no,yes
46,technician,divorced,unknown,no,344,yes,no
31,blue-collar,divorced,secondary,no,580,no,no
24,blue-collar,single,secondary,no,1451,no,no
38,management,married,primary,no,1338,yes,yes
51,retired,divorced,secondary,no,1667,no,no
38,technician,married,secondary,no,128,yes,no
39,blue-collar,married,tertiary,no,489,no,no
28,retired,married,secondary,no,-7,yes,no
25,management,single,tertiary,no,413,no,no
32,admin.,married,tertiary,no,469,yes,no
40,blue-collar,married,tertiary,no,145,yes,no
36,blue-collar,married,secondary,no,4494,no,no
49,blue-collar,married,secondary,no,-9,yes,no
41,technician,married,tertiary,no,365,no,yes
25,admin.,married,secondary,no,446,no,no
26,services,married,primary,no,753,no,no
30,self-employed,married,tertiary,no,278,yes,no
52,blue-collar,married,tertiary,no,126,yes,no
29,management,married,secondary,no,3280,yes,yes
30,retired,married,secondary,no,449,yes,no
21,self-employed,divorced,tertiary,no,2976,no,yes
29,services,married,primary,no,2938,yes,no
39,management,divorced,unknown,no,788,yes,no
25,blue-collar,married,primary,no,7817,no,no
35,blue-collar,married,tertiary,no,-911,no,no
21,management,single,secondary,no,912,yes,yes
24,services,divorced,secondary,no,1592,yes,no
23,blue-collar,married,secondary,no,666,no,no
22,housemaid,single,tertiary,yes,2492,no,no
40,services,married,secondary,no,404,no,yes
52,technician,married,tertiary,no,47,no,no
27,technician,married,secondary,no,300,no,yes
26,services,divorced,secondary,no,-490,yes,no
25,technician,divorced,tertiary,no,3066,no,no
19,self-employed,divorced,primary,no,326,yes,no
60,services,married,primary,no,-257,no,no
47,technician,married,secondary,no,315,yes,yes
35,services,married,primary,no,1697,yes,no
44,technician,divorced,primary,no,1168,no,no
53,self-employed,married,tertiary,no,2226,no,no
26,technician,married,secondary,no,133,yes,yes
29,management,married,tertiary,no,411,no,no
33,technician,divorced,secondary,no,497,yes,yes
27,services,divorced,primary,no,2720,yes,no
39,blue-collar,divorced,primary,no,2087,no,yes
39,retired,married,secondary,no,263,yes,no
32,unemployed,divorced,secondary,no,3185,yes,yes
31,technician,divorced,secondary,no,17257,no,no
22,retired,married,unknown,no,792,no,yes
41,technician,single,secondary,no,5154,no,no
28,blue-collar,married,tertiary,no,2176,no,no
47,technician,married,secondary,no,3895,no,no
50,technician,married,tertiary,no,1215,no,no
42,technician,married,tertiary,no,659,no,no
29,blue-collar,divorced,secondary,no,535,yes,no
38,technician,divorced,secondary,no,1146,no,no
62,admin.,divorced,secondary,no,1592,yes,yes
56,self-employed,married,secondary,yes,543,yes,yes
32,blue-collar,single,tertiary,no,9550,no,no
45,blue-collar,married,secondary,no,368,no,no
39,blue-collar,single,secondary,no,120,yes,no
37,technician,married,secondary,no,146,yes,no
37,technician,single,secondary,no,529,no,no
42,self-employed,married,secondary,no,1588,yes,no
50,technician,married,tertiary,no,2308,yes,no
51,technician,married,secondary,no,731,yes,no
36,retired,divorced,secondary,yes,426,yes,yes
27,unemployed,married,secondary,no,348,no,no
25,management,married,secondary,no,852,yes,no
54,admin.,divorced,tertiary,no,4414,no,yes
34,self-employed,married,tertiary,no,742,no,no
46,blue-collar,married,unknown,no,2131,yes,no
53,services,married,secondary,no,292,yes,yes
33,housemaid,divorced,tertiary,no,616,no,no
33,technician,single,secondary,no,492,yes,yes
32,blue-collar,married,primary,no,522,yes,yes
27,technician,divorced,tertiary,no,1953,no,no
53,services,married,tertiary,no,718,no,no
52,self-employed,married,secondary,no,1144,no,no
46,entrepreneur,married,primary,no,353,no,no
37,blue-collar,divorced,tertiary,no,1013,yes,yes
25,admin.,married,secondary,no,151,no,no
39,management,married,tertiary,no,5131,yes,yes
26,technician,married,tertiary,no,225,yes,no
27,admin.,divorced,primary,no,2057,no,yes
26,technician,married,tertiary,no,386,yes,no
25,blue-collar,single,secondary,no,-19,yes,no
55,admin.,single,secondary,no,1476,no,no
31,technician,divorced,tertiary,no,297,yes,yes
36,management,married,secondary,no,4549,no,yes
28,blue-collar,married,secondary,no,146,yes,yes
34,admin.,married,secondary,no,628,yes,no
36,entrepreneur,married,secondary,no,1668,no,no
35,housemaid,married,secondary,no,3607,no,no
32,technician,married,tertiary,no,1264,yes,no
46,management,divorced,secondary,no,3924,yes,no
32,services,married,secondary,no,6463,yes,no
34,self-employed,divorced,tertiary,no,2209,no,no
37,services,single,unknown,no,244,no,no
29,unknown,married,secondary,no,2282,no,no
31,management,married,secondary,no,426,yes,no
37,technician,married,tertiary,no,1183,no,no
48,admin.,single,secondary,no,561,no,no
27,blue-collar,married,secondary,no,457,yes,no
44,admin.,divorced,secondary,no,557,yes,no
33,blue-collar,married,secondary,no,724,yes,no
35,self-employed,married,tertiary,no,-416,no,yes
41,blue-collar,single,secondary,yes,818,no,no
39,admin.,married,secondary,no,2315,no,yes
31,blue-collar,married,secondary,no,6022,yes,no
42,admin.,divorced,tertiary,no,10794,no,no
33,admin.,single,secondary,no,4101,yes,no
21,housemaid,married,secondary,no,522,no,no
28,management,married,unknown,no,1377,yes,no
52,blue-collar,married,tertiary,no,149,yes,no
21,management,divorced,tertiary,no,1476,no,no
28,blue-collar,single,tertiary,no,439,no,no
26,management,married,tertiary,no,87,no,yes
25,services,married,tertiary,no,866,yes,no
41,blue-collar,married,secondary,no,510,no,yes
44,technician,married,primary,no,3605,yes,yes
38,admin.,single,tertiary,no,129,no,no
26,blue-collar,divorced,unknown,no,-53,no,yes
25,management,single,tertiary,no,95,yes,no
47,blue-collar,divorced,tertiary,yes,-18,yes,no
25,technician,divorced,secondary,no,86,yes,no
42,technician,married,secondary,no,195,no,no
32,technician,divorced,tertiary,no,-5,no,no
26,blue-collar,married,secondary,no,5718,no,no
53,blue-collar,married,primary,no,1867,no,no
60,technician,married,tertiary,no,89,yes,no
25,technician,married,tertiary,no,199,yes,no
50,blue-collar,single,secondary,no,347,yes,yes
31,technician,married,secondary,yes,1169,no,no
37,student,single,secondary,no,2990,no,no
37,admin.,married,primary,no,270,yes,yes
52,retired,single,tertiary,yes,4200,yes,no
46,services,single,tertiary,no,2213,no,no
33,technician,single,secondary,no,504,no,no
31,management,married,primary,no,576,no,no
34,blue-collar,married,tertiary,no,3043,no,no
51,unemployed,married,secondary,yes,3830,yes,no
27,technician,divorced,secondary,no,607,no,no
20,admin.,married,secondary,no,612,no,no
71,services,divorced,unknown,no,111,yes,no
50,technician,married,secondary,no,379,no,yes
24,services,divorced,secondary,no,4414,yes,no
25,services,divorced,secondary,no,81,no,no
25,retired,divorced,secondary,no,408,no,no
30,admin.,married,secondary,no,2229,no,no
25,unemployed,single,tertiary,no,2189,no,yes
26,blue-collar,married,secondary,no,-119,no,no
30,blue-collar,married,secondary,no,2276,no,no
34,technician,married,tertiary,no,-159,yes,no
23,technician,married,secondary,no,1637,yes,no
36,technician,married,unknown,no,2236,yes,yes
50,management,divorced,primary,no,244,no,yes
52,blue-collar,married,tertiary,no,672,yes,no
60,management,married,secondary,no,573,yes,no
27,blue-collar,married,tertiary,no,3522,no,no
44,management,married,tertiary,no,199,no,yes
28,blue-collar,divorced,secondary,no,2451,no,no
27,blue-collar,divorced,secondary,no,1942,yes,no
43,admin.,single,secondary,no,1904,yes,no
22,management,single,tertiary,no,2601,yes,no
36,blue-collar,married,tertiary,yes,5550,yes,no
23,admin.,single,tertiary,no,623,yes,no
55,admin.,married,secondary,no,2814,no,no
24,blue-collar,divorced,primary,no,330,yes,no
35,management,married,primary,no,621,yes,no
25,blue-collar,single,tertiary,no,303,no,no
41,technician,married,primary,no,643,no,no
29,admin.,married,secondary,no,55,no,no
45,technician,single,secondary,no,454,yes,yes
23,admin.,married,primary,no,438,no,yes
53,housemaid,single,secondary,no,914,no,no
26,admin.,married,secondary,no,2002,yes,yes
35,technician,married,tertiary,no,2029,no,no
30,self-employed,married,primary,no,1232,no,no
38,technician,divorced,tertiary,no,924,no,no
44,management,married,secondary,no,2042,yes,no
28,admin.,single,secondary,no,710,yes,yes
43,admin.,married,secondary,no,950,yes,yes
53,services,married,primary,no,383,yes,no
