contact,day,month,duration,campaign,pdays,previous,poutcome,y_bool
unknown,18,feb,5,2,-1,0,success,1
unknown,10,jun,324,2,-1,0,unknown,0
cellular,14,jul,240,2,-1,0,failure,1
cellular,4,jun,110,3,-1,0,failure,0
unknown,14,may,301,7,-1,2,unknown,0
telephone,11,jul,118,1,-1,0,unknown,0
cellular,11,aug,101,2,-1,0,unknown,0
unknown,7,may,87,2,-1,0,unknown,0
unknown,8,nov,154,2,-1,0,unknown,1
cellular,12,feb,25,1,-1,0,unknown,0
cellular,8,may,198,2,-1,0,unknown,0
cellular,13,jul,175,1,-1,0,unknown,0
telephone,18,jun,35,1,-1,0,unknown,0
cellular,24,jul,326,1,-1,0,unknown,0
unknown,11,jun,205,3,-1,0,failure,0
cellular,18,dec,396,1,-1,0,failure,0
unknown,3,may,550,16,-1,0,unknown,1
unknown,4,jul,413,2,-1,0,unknown,1
cellular,12,jul,127,3,-1,0,unknown,0
unknown,7,nov,77,2,-1,0,failure,0
cellular,1,may,155,2,-1,0,unknown,0
unknown,16,aug,127,2,-1,0,unknown,0
telephone,3,jul,344,1,-1,0,unknown,1
cellular,16,jul,237,2,-1,0,unknown,0
cellular,18,dec,250,2,-1,0,unknown,0
unknown,3,feb,82,2,-1,0,unknown,0
cellular,3,nov,32,2,-1,0,unknown,0
cellular,16,jul,24,2,-1,1,unknown,0
unknown,12,jun,27,3,-1,0,unknown,0
cellular,3,jul,779,1,-1,0,unknown,1
cellular,8,apr,208,2,-1,0,unknown,1
unknown,7,aug,361,1,139,0,unknown,0
unknown,9,jul,171,2,-1,0,unknown,0
unknown,9,aug,134,2,-1,0,failure,0
cellular,8,nov,214,2,-1,0,unknown,0
cellular,19,jul,414,2,-1,0,failure,1
cellular,19,jan,338,6,-1,0,failure,0
cellular,17,nov,92,1,-1,0,unknown,0
cellular,2,jun,18,2,-1,0,unknown,0
telephone,18,dec,350,2,-1,0,failure,1
cellular,13,jan,308,2,-1,0,unknown,0
cellular,6,may,280,3,-1,0,failure,0
cellular,8,may,199,2,-1,0,unknown,1
unknown,13,apr,289,2,-1,0,failure,1
cellular,4,apr,198,2,-1,0,unknown,0
cellular,3,nov,248,2,-1,0,failure,0
cellular,7,jun,104,1,-1,2,failure,0
unknown,3,nov,126,1,-1,0,unknown,0
cellular,15,apr,1412,1,29,0,unknown,0
cellular,3,jun,344,1,-1,0,unknown,1
cellular,6,aug,115,2,-1,0,unknown,1
unknown,16,jul,161,5,-1,0,unknown,0
cellular,21,oct,44,2,-1,0,unknown,0
cellular,7,feb,191,1,-1,0,unknown,0
cellular,4,jul,200,2,-1,0,unknown,0
cellular,8,jun,126,2,-1,0,unknown,0
cellular,8,sep,146,3,-1,0,unknown,0
unknown,3,may,811,2,-1,0,unknown,1
cellular,13,jul,113,12,-1,0,unknown,1
unknown,16,may,1259,3,-1,0,other,0
cellular,7,aug,414,7,-1,0,unknown,0
unknown,1,jan,77,1,-1,0,unknown,0
cellular,2,aug,255,3,-1,0,unknown,0
unknown,31,jul,494,2,-1,0,unknown,0
unknown,13,apr,120,2,-1,0,unknown,1
cellular,9,oct,278,1,-1,0,unknown,0
unknown,3,feb,232,2,-1,0,unknown,1
unknown,3,apr,390,2,-1,0,unknown,0
cellular,3,may,52,3,-1,1,success,0
telephone,17,may,768,1,-1,0,unknown,0
unknown,10,jul,187,2,-1,0,unknown,0
unknown,21,jun,754,2,-1,0,unknown,0
cellular,7,jul,121,4,-1,0,unknown,0
cellular,5,apr,429,1,-1,0,unknown,0
unknown,10,jun,583,1,-1,0,unknown,0
cellular,18,jul,636,1,-1,0,failure,0
telephone,5,jun,113,2,-1,0,failure,0
unknown,17,jul,209,2,-1,0,success,0
cellular,12,may,114,2,-1,0,unknown,1
cellular,9,aug,1321,1,-1,0,unknown,1
telephone,3,sep,1474,2,-1,0,unknown,1
unknown,18,jul,132,1,-1,0,unknown,1
cellular,16,jul,442,1,-1,0,failure,1
telephone,16,may,615,5,-1,0,unknown,0
unknown,26,apr,740,2,-1,0,unknown,0
cellular,14,jul,116,3,-1,0,unknown,1
unknown,3,nov,261,1,-1,0,unknown,1
cellular,11,jul,438,3,-1,0,unknown,0
unknown,17,may,28,8,-1,0,unknown,0
unknown,19,may,887,1,-1,0,unknown,0
unknown,6,jul,283,2,-1,0,unknown,0
cellular,5,jul,156,1,-1,0,failure,0
cellular,9,jul,687,1,-1,0,unknown,0
unknown,23,jun,595,2,-1,0,failure,0
unknown,1,apr,248,2,-1,3,failure,0
unknown,8,apr,138,2,-1,0,unknown,0
cellular,8,jun,47,1,-1,0,unknown,0
cellular,10,aug,116,1,-1,0,unknown,1
cellular,12,jun,18,1,-1,0,failure,1
cellular,28,jul,191,3,-1,0,unknown,0
unknown,11,jul,81,1,-1,0,success,0
cellular,15,aug,33,1,-1,0,unknown,0
cellular,14,may,47,2,-1,0,other,0
cellular,16,oct,233,1,-1,0,unknown,0
cellular,3,apr,241,1,-1,0,unknown,0
cellular,6,jul,234,2,-1,0,unknown,0
cellular,4,may,153,1,-1,0,unknown,1
telephone,28,jul,38,3,-1,2,unknown,0
unknown,26,jul,149,2,-1,0,unknown,1
cellular,3,oct,109,2,-1,0,unknown,0
cellular,5,may,207,2,-1,0,unknown,1
unknown,4,aug,37,3,-1,0,unknown,0
unknown,2,jul,276,1,-1,0,unknown,0
cellular,19,jul,8,2,-1,0,unknown,0
cellular,5,nov,137,1,-1,0,failure,0
cellular,4,aug,141,2,-1,0,unknown,1
unknown,12,jul,40,4,-1,0,unknown,0
cellular,16,may,9,1,-1,0,unknown,0
cellular,2,feb,33,2,-1,0,unknown,0
unknown,11,aug,266,2,-1,0,unknown,0
cellular,18,dec,314,1,-1,0,unknown,0
telephone,12,nov,915,2,-1,0,unknown,0
cellular,11,jul,331,2,-1,0,failure,0
cellular,12,jun,129,2,-1,0,unknown,0
cellular,6,may,1884,2,-1,0,unknown,0
cellular,2,may,36,2,-1,0,other,0
cellular,1,may,253,1,-1,0,unknown,0
cellular,2,nov,463,1,-1,0,unknown,0
unknown,11,apr,271,2,-1,0,success,0
cellular,11,jan,245,1,-1,0,failure,0
cellular,8,may,235,1,-1,0,failure,0
cellular,3,may,363,2,-1,1,unknown,0
unknown,15,jun,71,1,-1,0,unknown,1
cellular,4,may,63,2,-1,0,success,0
cellular,12,aug,161,2,-1,0,unknown,1
cellular,25,may,335,2,-1,0,unknown,0
unknown,6,apr,77,1,-1,0,unknown,0
cellular,4,oct,1778,3,-1,0,unknown,1
cellular,7,jul,36,1,-1,0,unknown,0
unknown,9,jul,103,2,-1,0,unknown,0
cellular,6,may,75,2,-1,0,failure,0
cellular,6,jul,114,1,-1,0,unknown,0
cellular,15,feb,248,5,-1,0,unknown,0
cellular,8,sep,262,1,-1,0,failure,1
telephone,16,oct,471,1,-1,0,unknown,0
unknown,10,may,172,2,-1,0,unknown,0
unknown,1,jun,10,1,-1,0,unknown,0
cellular,8,apr,282,2,-1,0,unknown,0
unknown,5,feb,917,1,-1,0,unknown,0
unknown,11,jul,259,1,-1,0,unknown,0
unknown,4,apr,257,2,-1,0,unknown,1
cellular,19,jun,118,1,-1,0,failure,1
cellular,2,nov,152,1,-1,0,unknown,0
telephone,9,jun,116,2,-1,0,unknown,0
cellular,5,aug,844,2,-1,0,unknown,1
unknown,14,feb,528,3,-1,0,unknown,0
cellular,5,may,9,10,-1,0,unknown,0
cellular,10,apr,154,2,-1,0,unknown,0
unknown,6,nov,81,2,-1,0,unknown,0
cellular,28,nov,116,1,-1,0,unknown,0
unknown,12,jul,79,1,-1,0,unknown,0
cellular,9,aug,48,2,-1,0,failure,0
unknown,1,may,310,3,-1,0,unknown,1
cellular,31,may,269,1,-1,0,unknown,0
unknown,27,feb,79,2,-1,0,unknown,0
telephone,9,may,210,2,-1,0,unknown,1
telephone,30,jul,146,2,-1,0,unknown,0
cellular,14,apr,375,1,-1,0,unknown,0
unknown,24,jul,377,2,23,0,unknown,0
cellular,13,aug,9,2,18,0,unknown,0
cellular,18,aug,52,2,-1,0,unknown,1
unknown,2,jun,282,2,-1,0,unknown,1
cellular,16,may,59,3,-1,0,other,1
cellular,22,may,374,2,-1,0,unknown,0
telephone,13,jul,64,1,-1,0,unknown,0
cellular,25,nov,39,2,-1,0,unknown,0
unknown,18,jul,262,4,-1,0,unknown,0
unknown,2,jul,322,3,-1,0,failure,0
cellular,19,aug,78,1,-1,0,unknown,0
cellular,4,sep,702,1,-1,0,failure,0
unknown,11,aug,47,1,-1,0,unknown,0
unknown,3,aug,173,1,-1,0,unknown,1
cellular,5,jul,216,2,-1,0,failure,0
unknown,9,apr,221,2,-1,0,unknown,1
unknown,9,jun,192,2,-1,0,unknown,0
cellular,10,jun,220,2,-1,0,unknown,1
cellular,12,jan,741,2,-1,0,unknown,0
unknown,5,may,483,2,-1,0,unknown,0
unknown,15,aug,36,1,-1,1,failure,0
unknown,15,nov,965,1,-1,0,unknown,0
unknown,8,may,937,2,-1,0,failure,1
unknown,11,may,123,1,-1,0,unknown,0
unknown,8,feb,210,3,-1,0,unknown,0
cellular,1,nov,94,2,-1,0,failure,0
cellular,8,jul,208,8,-1,0,success,0
cellular,22,may,125,1,-1,0,unknown,0
cellular,20,apr,65,4,-1,0,unknown,0
telephone,4,jul,491,3,-1,0,unknown,1
cellular,27,aug,208,1,-1,0,unknown,0
unknown,14,nov,4,9,-1,0,unknown,0
unknown,14,aug,927,2,-1,0,unknown,0
unknown,14,jul,95,2,-1,0,unknown,0
unknown,15,jun,101,3,-1,0,failure,0
cellular,2,feb,118,1,46,0,unknown,0
unknown,2,nov,111,2,-1,0,unknown,1
cellular,7,may,149,2,157,0,failure,0
cellular,24,jul,391,2,-1,0,unknown,0
unknown,29,aug,549,2,-1,0,unknown,1
unknown,11,jul,528,1,-1,0,unknown,0
cellular,7,jul,213,1,-1,0,unknown,1
cellular,10,may,1104,2,-1,0,unknown,0
telephone,12,jul,228,2,-1,0,unknown,0
cellular,23,nov,247,3,-1,0,unknown,0
unknown,18,aug,17,2,39,0,unknown,0
unknown,22,nov,129,3,-1,0,unknown,0
telephone,23,feb,286,1,-1,0,unknown,0
cellular,6,feb,18,6,-1,0,failure,1
cellular,14,may,96,2,-1,0,unknown,0
unknown,13,jul,163,1,-1,0,failure,0
unknown,21,mar,27,2,53,0,failure,0
unknown,14,jul,96,1,-1,0,unknown,1
unknown,12,jul,183,1,-1,0,unknown,0
unknown,29,aug,426,1,-1,0,unknown,0
unknown,15,aug,83,2,-1,0,unknown,0
cellular,15,nov,332,1,-1,0,unknown,0
cellular,9,oct,311,2,-1,0,failure,0
unknown,5,jul,395,2,-1,0,unknown,0
cellular,23,jul,365,2,-1,0,failure,0
cellular,26,jul,24,1,-1,0,failure,0
cellular,16,jun,1278,1,-1,0,unknown,0
cellular,3,jul,345,2,-1,0,unknown,1
cellular,9,jul,457,1,-1,0,unknown,0
cellular,2,jun,320,2,-1,0,failure,0
cellular,9,jul,84,1,-1,0,unknown,0
telephone,3,may,8,4,-1,0,unknown,1
cellular,3,jul,7,1,11,0,unknown,0
cellular,19,aug,62,2,-1,0,success,0
unknown,19,jul,65,2,-1,0,unknown,0
cellular,3,jan,120,2,-1,0,unknown,0
cellular,6,jul,165,1,-1,0,failure,0
cellular,2,aug,212,1,-1,0,unknown,0
cellular,18,may,1354,2,-1,0,unknown,1
cellular,14,apr,311,2,-1,0,unknown,0
unknown,16,nov,249,2,-1,0,unknown,0
cellular,3,jul,172,2,-1,0,failure,1
unknown,3,apr,59,2,-1,0,unknown,0
cellular,9,jun,1261,1,-1,0,unknown,0
cellular,16,jul,290,1,-1,0,unknown,1
unknown,9,apr,247,4,-1,0,failure,0
cellular,11,jul,634,3,-1,0,unknown,0
cellular,4,jul,1092,1,110,0,unknown,1
cellular,9,may,196,1,-1,0,unknown,0
unknown,1,jun,68,1,-1,0,unknown,0
cellular,2,aug,11,1,-1,2,unknown,0
cellular,4,jul,700,4,-1,0,unknown,0
cellular,31,aug,342,2,-1,0,unknown,0
unknown,8,nov,285,1,-1,0,unknown,0
cellular,3,jul,322,4,-1,0,unknown,1
cellular,13,nov,155,1,-1,0,unknown,0
unknown,12,nov,85,2,-1,0,unknown,0
cellular,4,jul,87,4,-1,0,unknown,1
cellular,18,jul,691,2,-1,0,unknown,1
cellular,14,sep,278,1,-1,0,unknown,0
cellular,8,aug,374,2,-1,0,other,0
unknown,10,aug,281,2,-1,0,unknown,0
unknown,17,may,1124,1,-1,0,failure,0
unknown,3,apr,658,2,-1,0,unknown,0
cellular,24,jul,26,1,-1,0,unknown,0
cellular,16,apr,55,1,-1,0,unknown,1
telephone,1,jul,69,3,-1,0,failure,0
cellular,17,nov,315,2,-1,0,failure,0
cellular,17,jan,29,3,-1,0,unknown,0
unknown,10,nov,235,2,-1,0,unknown,0
unknown,7,feb,877,1,-1,0,other,0
cellular,14,jun,189,2,-1,2,unknown,0
cellular,3,jan,97,1,-1,0,unknown,1
unknown,8,jun,219,1,-1,0,failure,1
cellular,22,jul,256,1,-1,0,unknown,0
cellular,28,nov,230,2,-1,0,unknown,0
cellular,4,jun,65,2,-1,0,unknown,0
cellular,27,jul,143,3,-1,0,unknown,1
cellular,3,feb,204,1,-1,0,unknown,0
telephone,4,jul,218,2,-1,0,unknown,1
unknown,1,nov,506,2,-1,0,unknown,1
cellular,11,jul,9,1,-1,0,unknown,0
telephone,11,apr,42,1,91,0,unknown,0
cellular,1,jun,363,2,-1,0,unknown,0
cellular,14,jun,464,2,-1,0,unknown,0
cellular,8,nov,69,2,-1,0,unknown,1
unknown,14,jun,276,2,-1,0,unknown,0
cellular,12,aug,180,2,-1,0,failure,0
cellular,26,feb,38,3,-1,1,failure,1
unknown,11,jul,356,1,-1,0,unknown,0
cellular,21,jun,137,2,-1,0,unknown,0
cellular,7,jul,181,2,-1,0,unknown,0
cellular,26,may,211,2,-1,0,unknown,0
cellular,21,jul,183,1,-1,0,unknown,0
cellular,20,jul,342,2,-1,0,unknown,0
cellular,11,jul,188,1,-1,0,failure,0
unknown,2,jul,111,1,-1,0,unknown,0
cellular,20,may,362,1,-1,0,failure,0
cellular,24,jul,1488,3,-1,0,other,1
cellular,1,jul,170,13,-1,0,unknown,1
cellular,3,apr,239,2,-1,0,failure,0
cellular,9,jul,65,2,-1,0,unknown,0
unknown,20,jul,12,2,-1,0,unknown,1
cellular,12,nov,118,2,112,0,unknown,0
cellular,14,jan,105,2,-1,0,unknown,0
cellular,4,jul,650,1,-1,0,other,1
cellular,5,nov,291,2,-1,0,unknown,0
cellular,19,jun,178,2,-1,0,failure,0
cellular,18,jun,102,1,-1,0,unknown,0
unknown,20,may,41,2,-1,0,unknown,1
unknown,7,may,2054,1,-1,0,unknown,1
unknown,10,jul,42,2,-1,1,unknown,0
cellular,22,nov,310,1,-1,0,unknown,0
unknown,17,apr,100,2,-1,0,unknown,1
unknown,13,jun,393,3,-1,3,failure,1
unknown,3,apr,137,12,-1,0,failure,0
cellular,19,jun,173,2,-1,0,unknown,1
unknown,21,jul,314,2,-1,0,unknown,0
cellular,26,jul,745,3,-1,0,failure,0
unknown,8,jan,276,2,-1,0,unknown,1
cellular,20,jul,210,3,-1,0,unknown,0
unknown,14,feb,271,1,-1,0,failure,1
cellular,2,may,296,2,-1,0,unknown,0
cellular,19,jun,943,1,152,0,unknown,0
unknown,21,jun,96,2,-1,1,failure,0
unknown,27,jul,147,1,-1,0,unknown,1
cellular,24,jun,25,2,61,0,unknown,0
cellular,28,apr,324,1,-1,0,unknown,1
cellular,6,jul,281,2,-1,0,unknown,0
cellular,10,jun,64,2,-1,0,unknown,1
cellular,18,jun,65,1,-1,0,unknown,0
unknown,22,jul,128,2,-1,0,unknown,0
telephone,7,jul,917,2,-1,0,unknown,0
cellular,16,nov,63,2,-1,0,unknown,0
cellular,17,jun,74,4,-1,0,failure,0
cellular,21,aug,91,2,-1,0,unknown,0
unknown,13,jun,230,2,-1,0,unknown,0
cellular,19,feb,1200,4,-1,0,unknown,0
unknown,11,apr,72,2,194,0,unknown,1
cellular,29,jun,322,2,-1,0,unknown,0
cellular,2,may,593,2,-1,0,failure,0
cellular,24,may,39,2,-1,0,failure,0
telephone,8,aug,192,2,-1,0,failure,0
cellular,17,nov,125,4,-1,0,unknown,0
cellular,8,nov,41,1,-1,0,unknown,1
cellular,10,aug,437,1,-1,0,unknown,1
cellular,22,aug,563,2,-1,0,unknown,0
cellular,3,jul,310,7,-1,0,unknown,1
cellular,9,jun,338,2,-1,0,failure,0
unknown,7,may,1475,4,-1,0,unknown,0
unknown,17,jul,127,1,-1,0,failure,0
cellular,24,may,138,3,-1,0,unknown,1
cellular,6,jul,493,1,-1,0,unknown,0
cellular,11,may,150,2,-1,0,unknown,0
cellular,10,nov,248,1,-1,0,failure,0
cellular,8,jul,1163,1,-1,0,other,0
cellular,5,nov,203,2,-1,0,unknown,1
unknown,3,feb,1137,1,-1,0,failure,0
cellular,2,jul,476,3,-1,0,unknown,0
cellular,16,jun,279,1,-1,0,unknown,0
unknown,16,jul,9,2,-1,0,unknown,1
cellular,10,nov,719,1,-1,0,unknown,0
cellular,18,feb,550,1,-1,0,unknown,0
